										
Star	Distance	Stellarclass	M☉	Apparent	Absolute	Right ascension	Declination	Parallax	Notes	
Sun (Sol)	0.0000158	G2V[5]		1	4.85		N/A	N/A	N/A	eight known planets
Proxima Centauri (V645 Centauri)	4.2441±0.0011	M5.5Ve		0.122	15.53		14h 29m 43.0s	−62° 40′ 46″	768.50±0.20[7]	flare star, two confirmed planets (b, 2016, and c, 2019)[8] and unconfirmed evidence for a third, sub-Earth sized, planet (d, 2020).[9]
α Centauri A (Rigil Kentaurus)	4.3650±0.0068	G2V[5]		1.1	4.38		14h 39m 36.5s	−60° 50′ 02″	747.23±1.17[10][11][12]	one directly-imaged habitable-zone planet candidate (Candidate 1) (2021)
α Centauri B (Toliman)	4.3650±0.0068	K1V[5]		0.907	5.71		14h 39m 35.1s	−60° 50′ 14″	747.23±1.17[10][11][12]	one suspected planet (c) (2013)(planet b refuted in 2015)
Barnard's Star (BD+04°3561a)	5.9577±0.0032	M4.0Ve		0.144	13.22		17h 57m 48.5s	#ERROR!	547.45±0.29[7]	flare star, largest-known proper motion,[13] one disputed planet (b)[14][15]
Luhman 16A§	6.5029±0.0011	L8±1[16]		0.032	14.2 J		10h 49m 15.57s	−53° 19′ 06″	501.557±0.082[17]	one refuted planet (Ab[18] in 2017[19])
Luhman 16B§	6.5029±0.0011	T1±2[16]		0.027			10h 49m 15.57s	−53° 19′ 06″	501.557±0.082[17]	one refuted planet (Ab[18] in 2017[19])
WISE 0855−0714§	7.43±0.04[20]	Y4		0.003-0.010			08h 55m 10.83s	−07° 14′ 42.5″	439.0±2.4[21]	sub-brown dwarf
Wolf 359 (CN Leonis)	7.856±0.031	M6.0V[5]		0.09	16.55		10h 56m 29.2s	#ERROR!	415.16±1.62[22]	flare star, has 2 known planets[14]
Lalande 21185 (BD+36°2147)	8.307±0.014	M2.0V[5]		0.39	10.44		11h 03m 20.2s	#ERROR!	392.64±0.67[23]	two known planets (2019)(2021)[14]
Sirius A	8.659±0.010	A1V[5]		2.063	1.42		06h 45m 08.9s	−16° 42′ 58″	376.68±0.45[7]	brightest star in the night sky
Sirius B	8.659±0.010	DA2[5]		1.018	11.34		06h 45m 08.9s	−16° 42′ 58″	376.68±0.45[7]	brightest star in the night sky
Luyten 726-8 A (BL Ceti)	8.791±0.012	M5.5Ve		0.102	15.4		01h 39m 01.3s	−17° 57′ 01″	371.0±0.5[7]	flare star (Archetypal member)
Luyten 726-8 B (UV Ceti)	8.791±0.012	M6.0Ve		0.1	15.85		01h 39m 01.3s	−17° 57′ 01″	371.0±0.5[7]	flare star (Archetypal member)
